Feature,Importance
smoker_Yes,0.34989844706810147
is_high_risk_customer,0.1798539511288502
health_risk_score,0.10558020498785758
smoker_No,0.09516299786311475
insurance_plan_Gold,0.05094420719975491
hospitalizations_last_year,0.03345027485970452
insurance_plan_Premium,0.030706284607512475
lifestyle_risk_score,0.024967385170956303
healthcare_utilization_score,0.02399472654580895
age,0.018141330774619043
annual_income_usd,0.013477183550489087
bmi,0.011256683850593217
children,0.008859794695534313
alcohol_consumption_per_week,0.005817673977476845
doctor_visits_per_year,0.005206306666995546
exercise_level_Low,0.004948357560889019
exercise_level_High,0.004134097831361914
region_Southeast,0.0016068303175990838
region_Northwest,0.0015379089154499439
region_Northeast,0.0015182800282473217
